,name,preprocessed_descriptions
0,george s at the cove  black bean soup,an original recipe created by chef scott meskan georges at the cove we enjoyed this when we visited this restaurant in la jolla california this recipe is requested so often they have it printed and ready at the hostess stand its unbeatable at the restaurant but i do a pretty good job at home too if i do say so myself
1,healthy for them  yogurt popsicles,my children and their friends ask for my homemade popsicles morning noon and night i never turn them down who am i to tell them that they are good for them for variety i substitute different flavours of frozen juice  grape fruit punch tropical etc
2,i can t believe it s spinach,these were so go it surprised even me
3,italian  gut busters,my sisterinlaw made these for us at a family get together they are delicious a little messy to make but worth the effort have a helper and make an 
4,love is in the air  beef fondue   sauces,i think a fondue is a very romantic casual dinner or wonderful for after the theatre snack served with a robust red wine for dinner serve with rice  a small salad almond rice pilaf is a great accompaniment recipe posted separately  to cook the meat you must first heat your oil  i do this by heating it to almost boiling on the stove and then transfering it to your fondue burner buy good quality meat i recommend only using a fillet have at least 3 sauces if you want to serve 46 people just increase the meat to 2 lbs there will be enough saucethese sauce recipes came from 
5,mennonite  corn fritters,ok  my heritage has been revealed  these are simply wonderful a favorite among our community theyre sure to bring a smile to your face enjoy
6,open sesame  noodles,this is a very versatile and widely enjoyed pasta dish with chicken it has an asian influence with a very nice sesame flavor i whipped it up one evening with a limited pantry and my little one named it joint collaboration on this one folks oh yea and the key is with the fresh ginger
7,say what   banana sandwich,you just have to try it to believe it
8,1 in canada chocolate chip cookies,this is the recipe that we use at my school cafeteria for chocolate chip cookies they must be the best chocolate chip cookies i have ever had if you dont have margarine or dont like it then just use butter softened instead
9,412 broccoli casserole,since there are already 411 recipes for broccoli casserole posted to zaar i decided to call this one  412 broccoli casserolei dont think there are any like this one in the database i based this one on the famous green bean casserole from campbells soup but i think mine is better since i dont like cream of mushroom soupsubmitted to zaar on may 28th2008
10,25 000 casserole,this is a recipe that my mother got from some cooking contest in the 50s it is delicious and filling on a cold night we all loved it so much that we would call it the 25 billion dollar casserole unfortunately my family isnt big on dumplings so i cant make this as often as i would like
11,250 00 chocolate chip cookies,these are great the perfect name for them
12,ara s potato  oup,i made this recipe myself when i was 13 i was on here trying to find a recipe for potato soup because i liked my moms so much  when i was looking i couldnt find a simple recipe for it that looked good so i decided to make my own  now my soup tastes even better than my moms and i always make it for family
13,blepandekager   danish   apple pancakes,this recipe has been posted here for play in zwt9  scandinavia  this recipe was found at website mindspringcom  christians danish recipes
14,add in anything  muffins,this is a neverfail muffin recipe its a blank canvas for anything you can dream up i like coconut and canned chopped pineapple that has been well drained you choose what you want to add in if you like a sweet muffin add in more sugar
15,better than tofu  cheesecake,this is again from vegwebcom this got absolutely amazing reviews over there so im guessing its pretty darn good multiple users said it would even fool the dairy lovers a few users suggested only using half the recommended amount of tofu 1 12oz container others said they used turbinado sugar in place of the syrup cant wait to try it  lemme know what you think
16,burek  or feta cheese  phyllo pie,ok there are different version of burek some eastern europeans even greeks roll a fresh dough and then spend more time rolling folding and waiting but if youre like me and my mom use phyllo its quick and you can always keep it in the freezer  i remember while i was growing up and my mom would make this every sunday the smell alone coming from our kitchen used to make me come running home please excuse the directions but the recipe doesnt really have measurements or written directions this is an old recipe and no one ever wrote it down
17,da best  chicago style italian beef,tender garlicky and full of oregano n stuff start this one a day ahead the beef slices need an overnight stay in da gravy to be at their best and please dont overcook the roast as it rests right out of the oven and as its reheated itll stop mooing serve on crusty italian sandwich rolls add sauteed peppers if you like but too much more and it starts looking like a philly steak n cheese a whole other beast prep time includes overnight marinating
18,german  barbecued carrots,this is something my grandma made at christmas i dont know where she originally got the recipe but the recipe card for it has her handwriting on it i call them german carrots because grandmas grandparents came over from germany my family mostly eats these at christmas and we usually fight over who gets the little bit thats leftover  its a really good barbecued carrot recipe
19,healthy  fried rice,i made this once hoping to have something light for lunch not only was it easy but it tasted great and the bulk of the rice kept me full for hours
20,i can t believe i made cream puffs,my old friend pat gave me this recipe 20 years ago and i really love these easy puffsa little too much as my waistline attests
21,kelly s creamy cheddar pea salad,im not a big fan of peas but like them in things this salad is one of my favorites happy to share
22,kicked up  oven fried chicken,i make mine on one cookie rack placed on a baking sheet but im sure that the chicken could still be great placed directly on a foillined baking sheet although i dont think it would be as crispy plan ahead the chicken needs to soak in the buttermilk for a minimum of 4 hours or overnight if you like a lot of heat then use 2 tablespoons of hot pepper sauce or you can omit the hot pepper sauce completely but i suggest adding it in it really brings out the kick in this chicken you will love this recipe i know my family does 
23,margarita  dip for fresh  or grilled fruit,this cool and creamy dip is a refreshing treat for a hot summer day serve it with cut up fresh or grilled fruit from kraft kitchens
24,middle eastern   twice baked potatoes,a delicious yet lowfat twicebaked potato side dish with a blend of classic middle eastern flavours chickpeas cumin and coriander  serve with roasts or with your favourite middle eastern main course dish  adapted from practical cookery low fat  these potatoes could also be served on their own as a light vegetarian meal in view of the comments by reviewers about the potatoes being a bit dry i have added a tablespoon of tahini i have also added some garlic im not sure how the recipe escaped having garlic in it when i first posted it
25,pass me another   hot clam dip,this recipe is from an appetizer book that i inherited from my mother it was published in 1952 and i have fond memories of this dip as a child
26,pasta  with shrimp   eggplant,a nice low carb way to feel like you are eating pasta
27,pizza pan  potato skins,theres a pub we go to that makes their own french fries and instead of throwing out the skins they fry them up and bake them with toppings in a pizza pan they bring them sizzling to your table in the pizza pan with sour cream for dipping dare i say that they are better than the french fries not a low calorie item but so good this is my attempt to duplicate them
28,quick biscuit bread,this is a wonderful quick bread to make as an acompaniment to most any dish it is very versatile and delicious 1 
29,secret ingredient  bbq meatloaf,i know what you might be thinkingho hum another meatloaf recipe  well your right but i think the secret ingredient sets this recipe apart from any other meatloaf in the zaardata baseplease feel free to adjust any of the seasonings or veggies to suit your own personal tastes submitted to zaar on december 9th2008
30,skordy  new potatoes w rosemary lemon   olive oi,i took this recipe from a vegan tastes of greece for a  recipe called skordalia which seemed like a dip  i wanted this flavour without dip so i changed it a bit  hence skordy  i listened to penulum while making greek treats which was rather funky do try
31,sticky chicky   dump chicken,i found this recipe online the idea here is that you put all the sauce ingredients in a freezer bag along with the chicken freeze it and then thaw it and dump it into a pan to cook i find that premixing this sauce helps though as it is fairly thick its one of my favorites with a somewhat oriental flavor
32,tastes like mounds bar    kahlua cake,this was made by a friend of mine who is in a recipe club and everyone loved it  if you like mounds bar candy you will love this cake  read all of the recipe before you start it does take a while to make but oh my god its worth it
33,tastes like   v 8 juice,one of the first questions i asked on this site was for homemade v8 juice have been constantly looking until the other day at the dentist office when the assistant gave me her mothers recipe wow so simple and so good071908 update  i made a large pitcherfull today and added about 112 tbsp of worcestershire sauce for an added kick the guys really liked it  mestill like the original best 091608 another update  i have now had two different members point out to me that the former name of this name of this recipe homemade v8 juice is a poor choice as it is not homemadeand i agree thus the new name
34,the  carrot cake,try this carrot cake recipe i baked 4 different carrot cakes and tuned the recipe to this one i am so happy with the result also most of the guests at my sister in law baby shower including the older and experienced ladies said that it was the best carrot cake ever so enjoy
35,windy s  sweet and sour meatballs,whenever we had a potluck lunch at the office or a neighborhood bbq i would make these the night before tripling the recipe then plug in the crock pot to heat them up for whichever event was going on they always went quickly i think they are very good and are really easy to make if you are making this for a family meal they are really nice served with rice if you are making it for a crowd just put out a bunch of toothpicks and let folks help themselves
36,5 minute bread  pizza,my son recently showed me a recipe for artisan bread that is incredibly tasty and easy to make  you can find the recipe at httpshoottocookcomrecipesbakingartisanbreadinfiveminutes   the name is artisan bread in five minutes and you really need to try it its greatusing the dough i prepared from that recipe i made my pizza crust and it turned out fantastic  this is also a great way to experiment use different ingredients and adapt the pizza to your own taste
37,almost  starbucks frappuccino,since i serve this is very large glasses i have listed at two servings you may divide into as many servings as you wish make certain to use very strong coffee for this  this is very good
38,amish  cake frosting   icing,yummmmmy my amish motherinlaw shared this passeddownthegenerations recipe and it is amazing hard to beat  and goes well with almost any flavor of cake enjoy
39,bacon cheeseburger and fries  soup,my son asked for cheeseburger soup and having never made it i researched zaar while i was browsing i had a vision the best baconcheeseburger and fries i ever had chopped into a soup or chowder this is my vision realized it came out even better than i had hoped the flavors are layered no one thing stands out but each ingredient is recognizable the celery stands in for lettuce and everthing else is present it is very rich
40,beat the blues  blue cheese risotto,risotto is the ultimate comfort food its like being hugged by your dinner you can make do with a spoon and dont even need to bother with proper grownup cutlerya bowl of this can almost make everything better again when your down
41,better  cake mix,to make a boxed cake mix even better add these 3 ingredientsit real does make a superior cake
42,chipotle  style chicken burrito bowls,i love  those chicken burrito bowls at the restaurant chipotle and this version is just as good  to me and my family anyway the recipe appears to be long but it consists of mostly toppings enjoy
