name,id,minutes,contributor_id,submitted,n_steps,description,n_ingredients
george s at the cove  black bean soup,44123,90,35193,2002-10-25,,"an original recipe created by chef scott meskan, george's at the cove. we enjoyed this when we visited this restaurant in la jolla, california. this recipe is requested so often, they have it printed and ready at the hostess stand. it's unbeatable at the restaurant, but i do a pretty good job at home, too, if i do say so myself!",18.0
healthy for them  yogurt popsicles,67664,10,91970,2003-07-26,,"my children and their friends ask for my homemade popsicles morning, noon and night. i never turn them down; who am i to tell them that they are good for them! for variety i substitute different flavours of frozen juice - grape, fruit punch, tropical etc.",
i can t believe it s spinach,38798,30,1533,2002-08-29,,"these were so go, it surprised even me.",8.0
italian  gut busters,35173,45,22724,2002-07-27,,my sister-in-law made these for us at a family get together. they are delicious!! a little messy to make but worth the effort!! have a helper and make an ,
love is in the air  beef fondue   sauces,84797,25,4470,2004-02-23,4.0,i think a fondue is a very romantic casual dinner or wonderful for after the theatre snack served with a robust red wine. for dinner serve with rice & a small salad. almond rice pilaf is a great accompaniment (recipe posted separately ) to cook the meat you must first heat your oil - i do this by heating it to almost boiling on the stove and then transfering it to your fondue burner. buy good quality meat i recommend only using a fillet. have at least 3 sauces. if you want to serve 4-6 people just increase the meat to 2 lbs there will be enough sauce.these sauce recipes came from ,
mennonite  corn fritters,44045,15,41706,2002-10-25,,"ok - my heritage has been revealed. :) these are simply wonderful. a favorite among our community, they're sure to bring a smile to your face. enjoy!",
open sesame  noodles,107229,28,173674,2004-12-30,8.0,"this is a very versatile and widely enjoyed pasta dish with chicken. it has an asian influence with a very nice sesame flavor. i whipped it up one evening with a limited pantry and my little one named it. joint collaboration on this one, folks! oh yea, and the key is with the fresh ginger.",12.0
say what   banana sandwich,95926,5,118163,2004-07-20,4.0,you just have to try it to believe it.,
1 in canada chocolate chip cookies,453467,45,1848091,2011-04-11,12.0,"this is the recipe that we use at my school cafeteria for chocolate chip cookies. they must be the best chocolate chip cookies i have ever had! if you don't have margarine or don't like it, then just use butter (softened) instead.",11.0
412 broccoli casserole,306168,40,50969,2008-05-30,6.0,"since there are already 411 recipes for broccoli casserole posted to ""zaar"" ,i decided to call this one  #412 broccoli casserole.i don't think there are any like this one in the database. i based this one on the famous ""green bean casserole"" from campbell's soup. but i think mine is better since i don't like cream of mushroom soup.submitted to ""zaar"" on may 28th,2008",
25 000 casserole,50662,125,9748,2003-01-10,,"this is a recipe that my mother got from some cooking contest in the '50s. it is delicious and filling on a cold night. we all loved it so much that we would call it the 25 billion dollar casserole! unfortunately, my family isn't big on dumplings, so i can't make this as often as i would like.",
250 00 chocolate chip cookies,118843,20,145599,2005-04-24,,these are great! the perfect name for them!,13.0
ara s potato  oup,69190,135,98404,2003-08-20,5.0,"i made this recipe myself when i was 13. i was on here trying to find a recipe for potato soup because i liked my mom's so much.  when i was looking, i couldn't find a simple recipe for it that looked good, so i decided to make my own.  now, my soup tastes even better than my mom's and i always make it for family.",
blepandekager   danish   apple pancakes,503475,50,128473,2013-07-08,10.0,this recipe has been posted here for play in zwt9 - scandinavia.  this recipe was found at website: mindspring.com - christian's danish recipes.,
add in anything  muffins,149593,15,89831,2005-12-28,,"this is a never-fail muffin recipe, it's a blank canvas for anything you can dream up! i like coconut and canned chopped pineapple that has been well drained! you choose what you want to add in! if you like a sweet muffin add in more sugar.",9.0
better than tofu  cheesecake,200148,90,261027,2006-12-11,18.0,"this is, again, from vegweb.com. this got absolutely amazing reviews over there, so i'm guessing it's pretty darn good (multiple users said it would even fool the dairy lovers)! 
a few users suggested only using half the recommended amount of tofu (1 12oz. container). others said they used turbinado sugar in place of the syrup. can't wait to try it!  lemme know what you think!",13.0
burek  or feta cheese  phyllo pie,310570,65,676820,2008-06-24,38.0,"ok, there are different version of burek (some eastern europeans even greeks) roll a fresh dough and then spend more time rolling, folding and waiting. but if you're like me and my mom, use phyllo! it's quick and you can always keep it in the freezer.  i remember while i was growing up and my mom would make this every sunday! the smell alone coming from our kitchen used to make me come running home. please excuse the directions, but the recipe doesn't really have measurements or written directions! this is an old recipe and no one ever wrote it down.",6.0
da best  chicago style italian beef,95534,645,94272,2004-07-13,,"tender, garlicky and full of oregano 'n stuff! start this one a day ahead; the beef slices need an overnight stay in da gravy to be at their best. and please don't overcook the roast! as it rests right out of the oven and as it's reheated it'll stop mooing! serve on crusty italian sandwich rolls; add sauteed peppers if you like, but too much more and it starts looking like a philly steak 'n cheese, a whole other beast. prep time includes overnight marinating.",
german  barbecued carrots,109818,55,64918,2005-01-28,,this is something my grandma made at christmas. i don't know where she originally got the recipe but the recipe card for it has her handwriting on it. i call them german carrots because grandma's grandparents came over from germany. my family mostly eats these at christmas and we usually fight over who gets the little bit that's leftover.  it's a really good barbecued carrot recipe.,
healthy  fried rice,66932,25,93406,2003-07-16,,"i made this once, hoping to have something light for lunch. not only was it easy, but it tasted great, and the bulk of the rice kept me full for hours!",8.0
i can t believe i made cream puffs,226001,55,237783,2007-05-02,,"my old friend pat gave me this recipe 20 years ago and i really love these easy puffs....a little too much, as my waistline attests!",6.0
kelly s creamy cheddar pea salad,125195,20,113941,2005-06-09,5.0,"i'm not a big fan of peas, but like them in things. this salad is one of my favorites. happy to share!",10.0
kicked up  oven fried chicken,141939,345,89831,2005-10-19,13.0,"i make mine on one cookie rack placed on a baking sheet but i'm sure that the chicken could still be great placed directly on a foil-lined baking sheet, although i don't think it would be as crispy. plan ahead the chicken needs to soak in the buttermilk for a minimum of 4 hours or overnight. if you like a lot of heat then use 2 tablespoons of hot pepper sauce, or you can omit the hot pepper sauce completely, but i suggest adding it in, it really brings out the kick in this chicken---- you will *love* this recipe, i know my family does! :)",17.0
margarita  dip for fresh  or grilled fruit,250883,70,398160,2007-09-04,14.0,this cool and creamy dip is a refreshing treat for a hot summer day. serve it with cut up fresh or grilled fruit. from kraft kitchens.,4.0
middle eastern   twice baked potatoes,120297,110,197023,2005-05-02,14.0,"a delicious yet low-fat twice-baked potato side dish with a blend of classic middle eastern flavours: chickpeas, cumin and coriander.  serve with roasts or with your favourite middle eastern main course dish.  adapted from ""practical cookery: low fat"".  these potatoes could also be served on their own as a light vegetarian meal. in view of the comments by reviewers about the potatoes being a bit dry, i have added a tablespoon of tahini. i have also added some garlic. i'm not sure how the recipe escaped having garlic in it when i first posted it!",10.0
pass me another   hot clam dip,147477,15,135442,2005-12-05,3.0,this recipe is from an appetizer book that i inherited from my mother. it was published in 1952 and i have fond memories of this dip as a child.,7.0
pasta  with shrimp   eggplant,223349,50,452592,2007-04-18,7.0,a nice low carb way to feel like you are eating pasta!,9.0
pizza pan  potato skins,60938,60,35635,2003-04-24,,"there's a pub we go to that makes their own french fries, and instead of throwing out the skins, they fry them up and bake them with toppings in a pizza pan. they bring them sizzling to your table in the pizza pan with sour cream for dipping. dare i say that they are better than the french fries? not a low calorie item but so good. this is my attempt to duplicate them.",7.0
quick biscuit bread,302399,20,213909,2008-05-06,11.0,this is a wonderful quick bread to make as an acompaniment to most any dish. it is very versatile and delicious 1 :-),5.0
secret ingredient  bbq meatloaf,342620,75,50969,2008-12-09,9.0,"i know what you might be thinking,'ho hum, another meatloaf recipe "" .well your right, but i think the secret ingredient sets this recipe apart from any other meatloaf in the ""zaar""data base.please feel free to adjust any of the seasonings or veggies to suit your own personal tastes. submitted to ""zaar"" on december 9th,2008.",10.0
skordy  new potatoes w rosemary lemon   olive oi,296983,35,718054,2008-04-08,,"i took this recipe from a vegan tastes of greece for a  recipe called skordalia which seemed like a dip.  i wanted this flavour without dip, so i changed it a bit;  hence skordy.  i listened to penulum while making greek treats which was rather funky do try!",6.0
sticky chicky   dump chicken,166089,55,290107,2006-04-27,14.0,"i found this recipe online. the idea here is that you put all the sauce ingredients in a freezer bag along with the chicken, freeze it, and then thaw it and dump it into a pan to cook. i find that premixing this sauce helps, though, as it is fairly thick. it's one of my favorites, with a somewhat oriental flavor.",5.0
tastes like mounds bar    kahlua cake,129581,150,191220,2005-07-12,33.0,"this was made by a friend of mine who is in a recipe club and everyone loved it!!  if you like mounds bar candy, you will love this cake!!  read all of the recipe before you start, it does take a while to make but oh my god, it's worth it!!",
tastes like   v 8 juice,116741,25,182809,2005-04-12,,"one of the first questions i asked on this site was for homemade v-8 juice. have been constantly looking until the other day at the dentist office when the assistant gave me her mother's recipe. wow!, so simple and so good.07/19/08: update!  i made a large pitcher-full today and added about 11/2 tbsp of worcestershire sauce for an added kick. the guys really liked it!  me?....still like the original best. 09/16/08: another update:  i have now had two different members point out to me that the former name of this name of this recipe, homemade v-8 juice, is a poor choice as it is not homemade.......and i agree, thus the new name.",2.0
the  carrot cake,325714,1500,817632,2008-09-19,6.0,"try this carrot cake recipe, i baked 4 different carrot cakes and tuned the recipe to this one. i am so happy with the result!, also most of the guests at my sister in law baby shower (including the older and experienced ladies) said that it was the best carrot cake ever. so enjoy!",
windy s  sweet and sour meatballs,276594,50,341338,2008-01-05,6.0,"whenever we had a potluck lunch at the office or a neighborhood bbq, i would make these the night before, tripling the recipe, then plug in the crock pot to heat them up for whichever event was going on. they always went quickly. i think they are very good and are really easy to make. if you are making this for a family meal, they are really nice served with rice. if you are making it for a crowd, just put out a bunch of toothpicks, and let folks help themselves.",14.0
5 minute bread  pizza,487173,45,2406227,2012-09-19,30.0,"my son recently showed me a recipe for artisan bread that is incredibly tasty and easy to make.  you can find the recipe at http://shoottocook.com/recipes/baking/artisan-bread-in-five-minutes/ .  the name is artisan bread in “five minutes” and you really need to try it, it’s great.

using the dough i prepared from that recipe, i made my pizza crust and it turned out fantastic!  this is also a great way to experiment, use different ingredients and adapt the pizza to your own taste.",8.0
almost  starbucks frappuccino,289671,5,89831,2008-03-02,6.0,"since i serve this is very large glasses i have listed at two servings, you may divide into as many servings as you wish, make certain to use very strong coffee for this --- this is very good!",6.0
amish  cake frosting   icing,44050,5,41706,2002-10-25,,"yummmmmy! my amish mother-in-law shared this passed-down-the-generations recipe, and it is amazing! hard to beat - and goes well with almost any flavor of cake! enjoy!",
bacon cheeseburger and fries  soup,447429,60,1355934,2011-01-26,,"my son asked for cheeseburger soup, and having never made it i researched 'zaar. while i was browsing i had a vision: the best bacon-cheeseburger and fries i ever had, chopped into a soup or chowder. this is my vision realized. it came out even better than i had hoped. the flavors are layered, no one thing stands out, but each ingredient is recognizable. the celery stands in for lettuce, and everthing else is present! it is very rich.",17.0
beat the blues  blue cheese risotto,137701,40,239808,2005-09-16,18.0,"risotto is the ultimate comfort food, it's like being hugged by your dinner. you can make do with a spoon and don't even need to bother with proper grown-up cutlery.
a bowl of this can (almost) make everything better again when your down.",13.0
better  cake mix,292568,35,66448,2008-03-19,2.0,to make a boxed cake mix even better add these 3 ingredients....it real does make a superior cake!,3.0
chipotle  style chicken burrito bowls,299989,40,822971,2008-04-22,,"i love  those chicken burrito bowls at the restaurant chipotle, and this version is just as good - to me and my family anyway! the recipe appears to be long, but it consists of mostly toppings. enjoy!",18.0
don t knock it until you try it  beet cake,63346,65,27643,2003-05-28,,"yes, this cake is made with beets! and you won't believe how great it is. i got the recipe from a friend who said it is the most requested cake in her family. even the kids want it for their birthday cake. i baked it for one of our family gatherings and now, i get lots of requests for it too. the batter looks red, but the red bakes out. i use an almond flavored frosting on it sometimes. other times i just serve it with homemade whipped cream.",
emerald ecstasy  green smoothie,342619,6,1010057,2008-12-09,9.0,"this is the delicious green smoothie recipe that i make and serve at my vita-mix sales demonstrations.  it always ""wows the crowd"" when something that is so bright green tastes so surprisingly delicious!  it is designed for a vita-mix so i don't know how it would work in any other kitchen appliance.

add ingredients into the 64 oz. container in the following order:",6.0
