Дата,Уровень воды,Изменение уровня воды,Температура воды
2023-04-01,264,+47,-
2023-04-02,274,+10,1.1
2023-04-03,260,-14,-
2023-04-04,257,-3,2.8
2023-04-05,278,+21,3.0
2023-04-06,296,+18,3.2
2023-04-07,302,+6,3.8
2023-04-08,293,-9,3.6
2023-04-09,289,-4,4.0
2023-04-10,264,-25,4.0
2023-04-11,226,-38,4.4
2023-04-12,184,-42,4.8
2023-04-13,155,-29,5.0
2023-04-14,139,-16,5.4
2023-04-15,129,-10,4.4
2023-04-16,125,-4,4.2
2023-04-17,113,-12,4.0
2023-04-18,95,-18,4.8
2023-04-19,80,-15,5.4
2023-04-20,63,-17,5.8
2023-04-21,55,-8,5.8
2023-04-22,57,+2,5.6
2023-04-23,57,0,5.4
2023-04-24,75,+18,6.6
2023-04-25,84,+9,7.2
2023-04-26,86,+2,8.6
2023-04-27,80,-6,8.8
2023-04-28,75,-5,9.4
2023-04-29,72,-3,9.8
2023-04-30,89,+17,9.8
