iter	RMSE
0	16.11840029
1	15.39141505
2	14.69438327
3	14.04258219
4	13.41844268
5	12.83255632
6	12.27383024
7	11.74403291
8	11.24198298
9	10.77929838
10	10.33379969
11	9.917809109
12	9.521273926
13	9.150203957
14	8.795846175
15	8.469130372
16	8.157790959
17	7.869247594
18	7.596286155
19	7.339593872
20	7.100235759
21	6.873938935
22	6.667214584
23	6.469581878
24	6.282815626
25	6.112841886
26	5.95449349
27	5.80605752
28	5.668188737
29	5.541922722
30	5.424423461
31	5.31285594
32	5.212952094
33	5.119560107
34	5.031476152
35	4.94997061
36	4.874688955
37	4.807185877
38	4.745393479
39	4.688103561
40	4.635424936
41	4.585947214
42	4.540980873
43	4.5001503
44	4.463132657
45	4.42795625
46	4.396203309
47	4.367875259
48	4.341720402
49	4.317954981
50	4.295605414
51	4.27465379
52	4.256367697
53	4.239884883
54	4.224131992
55	4.209851856
56	4.196637511
57	4.183472992
58	4.172553595
59	4.162534583
60	4.153123614
61	4.143899468
62	4.136191615
63	4.12859394
64	4.121701701
65	4.114975617
66	4.108577564
67	4.103058065
68	4.097602181
69	4.092856307
70	4.088589178
71	4.084486487
72	4.080760798
73	4.076953486
74	4.07340416
75	4.070396104
76	4.066150376
77	4.063719663
78	4.061400044
79	4.058854012
80	4.056574167
81	4.054377631
82	4.05180899
83	4.049960595
84	4.047516247
85	4.04565797
86	4.043653194
87	4.041651561
88	4.040249771
89	4.038599451
90	4.036747721
91	4.034756581
92	4.033403363
93	4.031590287
94	4.030033302
95	4.027136587
96	4.024449423
97	4.022993205
98	4.021580657
99	4.020008232
100	4.018840905
101	4.017394168
102	4.016004078
103	4.014684353
104	4.01368615
105	4.011020678
106	4.009023151
107	4.007885425
108	4.006565867
109	4.005576992
110	4.003180955
111	4.002144855
112	4.001400682
113	3.999938354
114	3.998969622
115	3.997821579
116	3.996753052
117	3.99607664
118	3.995008534
119	3.994248589
120	3.992979313
121	3.991910786
122	3.990581342
123	3.989242344
124	3.988441877
125	3.987469824
126	3.986409732
127	3.984407397
128	3.98351154
129	3.982547876
130	3.981571267
131	3.97998797
132	3.979375589
133	3.977447846
134	3.976700636
135	3.975596286
136	3.974677628
137	3.973804896
138	3.973105303
139	3.972345788
140	3.971438143
141	3.9705237
142	3.970006144
143	3.969135382
144	3.968497899
145	3.967166937
146	3.966252954
147	3.965420158
148	3.964800989
149	3.963491418
150	3.962506727
151	3.96177668
152	3.959794747
153	3.958938294
154	3.958165344
155	3.957540514
156	3.956879675
157	3.955521402
158	3.954913244
159	3.954187843
160	3.953368297
161	3.952736477
162	3.951925832
163	3.950914473
164	3.950208845
165	3.949483104
166	3.948743426
167	3.948142825
168	3.947339064
169	3.946675201
170	3.946002161
171	3.945422507
172	3.944839813
173	3.944301564
174	3.94353647
175	3.942618773
176	3.941852208
177	3.941285171
178	3.940748883
179	3.940208885
180	3.939595255
181	3.9387962
182	3.937934945
183	3.937403852
184	3.93673304
185	3.935966907
186	3.93531708
187	3.934608949
188	3.933282953
189	3.932455779
190	3.932028729
191	3.93146076
