iter	Passed	Remaining
0	189	189700
1	362	180707
2	519	172485
3	663	165235
4	805	160325
5	952	157805
6	1099	155953
7	1247	154736
8	1360	149800
9	1463	144909
10	1566	140829
11	1717	141402
12	1823	138422
13	1968	138617
14	2106	138335
15	2240	137786
16	2385	137936
17	2519	137471
18	2638	136205
19	2779	136212
20	2877	134141
21	3014	134021
22	3087	131159
23	3188	129650
24	3323	129632
25	3448	129190
26	3547	127837
27	3687	127999
28	3832	128331
29	3966	128237
30	4068	127165
31	4210	127377
32	4354	127594
33	4503	127962
34	4638	127878
35	4768	127691
36	4869	126733
37	5008	126804
38	5161	127191
39	5299	127198
40	5446	127393
41	5575	127183
42	5675	126321
43	5773	125448
44	5911	125453
45	6042	125320
46	6178	125269
47	6314	125240
48	6412	124461
49	6548	124413
50	6642	123598
51	6766	123365
52	6865	122679
53	7004	122714
54	7107	122126
55	7241	122071
56	7367	121879
57	7511	122005
58	7653	122068
59	7750	121418
60	7887	121414
61	8020	121338
62	8160	121369
63	8300	121396
64	8401	120849
65	8523	120613
66	8650	120460
67	8790	120480
68	8886	119906
69	8984	119359
70	9130	119471
71	9231	118980
72	9345	118677
73	9477	118598
74	9575	118092
75	9708	118031
76	9850	118083
77	9983	118007
78	10118	117962
79	10261	118012
80	10396	117951
81	10534	117932
82	10629	117441
83	10770	117452
84	10878	117105
85	11021	117131
86	11127	116771
87	11235	116440
88	11379	116479
89	11529	116580
90	11649	116367
91	11789	116356
92	11929	116342
93	12046	116112
94	12177	116005
95	12321	116031
96	12460	115997
97	12600	115973
98	12739	115940
99	12880	115923
100	13017	115867
101	13159	115854
102	13301	115843
103	13430	115707
104	13567	115646
105	13718	115705
106	13824	115375
107	13954	115256
108	14102	115276
109	14251	115303
110	14355	114975
111	14485	114850
112	14625	114802
113	14759	114710
114	14897	114647
115	15009	114386
116	15145	114303
117	15276	114185
118	15379	113860
119	15521	113822
120	15656	113732
121	15789	113629
122	15919	113509
123	16055	113423
124	16194	113364
125	16343	113368
126	16446	113055
127	16592	113037
128	16725	112931
129	16816	112538
130	16941	112383
131	17088	112367
132	17221	112265
133	17363	112215
134	17502	112145
135	17633	112023
136	17738	111741
137	17891	111757
138	18027	111664
139	18161	111562
140	18303	111507
141	18436	111395
142	18565	111263
143	18663	110944
144	18803	110876
145	18903	110575
146	19045	110518
147	19187	110460
148	19326	110384
149	19475	110359
150	19577	110076
151	19709	109957
152	19868	109993
153	20011	109934
154	20121	109694
155	20259	109611
156	20397	109520
157	20544	109485
158	20693	109455
159	20804	109224
160	20936	109103
161	21035	108813
162	21175	108734
163	21321	108686
164	21460	108601
165	21563	108337
166	21712	108303
167	21851	108215
168	21982	108090
169	22114	107971
170	22234	107792
171	22373	107706
172	22471	107423
173	22606	107314
174	22749	107248
175	22899	107211
176	23035	107108
177	23190	107091
178	23350	107099
179	23456	106856
180	23567	106638
181	23706	106550
182	23852	106488
183	23948	106205
184	24082	106091
185	24185	105842
186	24323	105749
187	24469	105688
188	24567	105419
189	24671	105178
190	24797	105033
191	24940	104956
192	25077	104859
193	25188	104650
194	25287	104393
195	25427	104304
196	25571	104233
197	25676	104001
198	25812	103900
199	25928	103714
200	26027	103462
201	26174	103401
202	26321	103341
203	26458	103241
204	26593	103130
205	26715	102972
206	26818	102739
207	26964	102672
208	27062	102422
209	27186	102274
210	27282	102018
211	27374	101751
212	27508	101638
213	27602	101379
214	27732	101254
215	27881	101200
216	28002	101039
217	28141	100948
218	28272	100825
219	28412	100735
220	28516	100518
221	28655	100423
222	28788	100308
223	28904	100132
224	29008	99916
225	29143	99810
226	29279	99705
227	29381	99486
228	29487	99279
229	29617	99153
230	29760	99074
231	29897	98972
232	30037	98878
233	30178	98788
234	30268	98534
235	30406	98433
236	30514	98239
237	30659	98160
238	30796	98059
239	30936	97964
240	31034	97738
241	31145	97554
242	31287	97466
243	31421	97353
244	31554	97240
245	31661	97045
246	31813	96985
247	31915	96775
248	32054	96678
249	32195	96586
250	32340	96506
251	32480	96411
252	32576	96183
253	32715	96085
254	32852	95980
255	32986	95868
256	33100	95694
